assembly_accession,species,strain,assembly_level,assembly_method,bioproject,biosample,genome_size,gc_content,contig_count,n50,sequencing_tech,genome_type,host,isolation_source,country,collection_date,has_host,has_source,has_country,host_clean,source_clean,country_clean,species_epithet,host_bs,source_bs,country_bs,host_final,host_source,source_final,source_source,country_final,country_source,species_final
GCA_039733685.1,Bifidobacterium longum,RTP21400st1_C2_RTP21400_201112,Scaffold,SPAdes v. v3.14.1,PRJNA1093465,SAMN41371897,2536260.0,60.0,56.0,74617.0,,isolate,Homo sapiens,,USA: New York,,True,False,True,homo sapiens,,USA: New York,longum,homo sapiens,rich broth,usa: new york,homo sapiens,biosample,other,biosample,usa,biosample,Bifidobacterium longum
GCA_039734125.1,Bifidobacterium longum,BSD3178071175st1_E6_BSD3178071176_160815,Scaffold,SPAdes v. v3.14.1,PRJNA1093465,SAMN41376117,2437105.0,60.0,46.0,124899.0,,isolate,Homo sapiens,,USA: New York,,True,False,True,homo sapiens,,USA: New York,longum,homo sapiens,rich broth,usa: new york,homo sapiens,biosample,other,biosample,usa,biosample,Bifidobacterium longum
GCA_039734145.1,Bifidobacterium longum,1001271st1_H8_1001271B_151109,Scaffold,SPAdes v. v3.14.1,PRJNA1093465,SAMN41376114,2471506.0,60.5,66.0,65005.0,,isolate,Homo sapiens,,USA: New York,,True,False,True,homo sapiens,,USA: New York,longum,homo sapiens,rich broth,usa: new york,homo sapiens,biosample,other,biosample,usa,biosample,Bifidobacterium longum
GCA_039753855.1,Bifidobacterium longum,RTP31083st1_H1_RTP31083_211112,Scaffold,SPAdes v. v3.14.1,PRJNA1093465,SAMN41371918,2311616.0,60.0,50.0,109579.0,,isolate,Homo sapiens,,USA: New York,,True,False,True,homo sapiens,,USA: New York,longum,homo sapiens,rich broth,usa: new york,homo sapiens,biosample,other,biosample,usa,biosample,Bifidobacterium longum
GCA_039753895.1,Bifidobacterium longum,RTP31083st1_F6_RTP31083_211112,Scaffold,SPAdes v. v3.14.1,PRJNA1093465,SAMN41371916,2314590.0,60.0,46.0,147092.0,,isolate,Homo sapiens,,USA: New York,,True,False,True,homo sapiens,,USA: New York,longum,homo sapiens,rich broth,usa: new york,homo sapiens,biosample,other,biosample,usa,biosample,Bifidobacterium longum
GCA_039753915.1,Bifidobacterium longum,RTP31083st1_H11_RTP31083_211112,Scaffold,SPAdes v. v3.14.1,PRJNA1093465,SAMN41371917,2454002.0,60.0,50.0,99969.0,,isolate,Homo sapiens,,USA: New York,,True,False,True,homo sapiens,,USA: New York,longum,homo sapiens,rich broth,usa: new york,homo sapiens,biosample,other,biosample,usa,biosample,Bifidobacterium longum
GCA_039753935.1,Bifidobacterium longum,RTP31015st2_H2_RTP31015_201113,Scaffold,SPAdes v. v3.14.1,PRJNA1093465,SAMN41371914,2390240.0,60.0,62.0,77686.0,,isolate,Homo sapiens,,USA: New York,,True,False,True,homo sapiens,,USA: New York,longum,homo sapiens,rich broth,usa: new york,homo sapiens,biosample,other,biosample,usa,biosample,Bifidobacterium longum
GCA_039753955.1,Bifidobacterium longum,RTP31083st1_E5_RTP31083_211112,Scaffold,SPAdes v. v3.14.1,PRJNA1093465,SAMN41371915,2362256.0,60.0,40.0,114420.0,,isolate,Homo sapiens,,USA: New York,,True,False,True,homo sapiens,,USA: New York,longum,homo sapiens,rich broth,usa: new york,homo sapiens,biosample,other,biosample,usa,biosample,Bifidobacterium longum
GCA_039753975.1,Bifidobacterium longum,RTP31015st2_F3_RTP31015_201113,Scaffold,SPAdes v. v3.14.1,PRJNA1093465,SAMN41371913,2397644.0,60.0,72.0,53712.0,,isolate,Homo sapiens,,USA: New York,,True,False,True,homo sapiens,,USA: New York,longum,homo sapiens,rich broth,usa: new york,homo sapiens,biosample,other,biosample,usa,biosample,Bifidobacterium longum
GCA_039753995.1,Bifidobacterium longum,RTP31015st2_D10_RTP31015_201113,Scaffold,SPAdes v. v3.14.1,PRJNA1093465,SAMN41371912,2394705.0,60.0,56.0,105354.0,,isolate,Homo sapiens,,USA: New York,,True,False,True,homo sapiens,,USA: New York,longum,homo sapiens,rich broth,usa: new york,homo sapiens,biosample,other,biosample,usa,biosample,Bifidobacterium longum
GCA_039754015.1,Bifidobacterium longum,RTP31015st1_A10_RTP31015_201113,Scaffold,SPAdes v. v3.14.1,PRJNA1093465,SAMN41371909,2338347.0,60.0,57.0,99186.0,,isolate,Homo sapiens,,USA: New York,,True,False,True,homo sapiens,,USA: New York,longum,homo sapiens,rich broth,usa: new york,homo sapiens,biosample,other,biosample,usa,biosample,Bifidobacterium longum
GCA_039754035.1,Bifidobacterium longum,RTP31015st1_A8_RTP31015_201113,Scaffold,SPAdes v. v3.14.1,PRJNA1093465,SAMN41371910,2382573.0,60.0,41.0,113998.0,,isolate,Homo sapiens,,USA: New York,,True,False,True,homo sapiens,,USA: New York,longum,homo sapiens,rich broth,usa: new york,homo sapiens,biosample,other,biosample,usa,biosample,Bifidobacterium longum
GCA_039754055.1,Bifidobacterium longum,RTP21489st1_E10_RTP21489_200313,Contig,SPAdes v. v3.14.1,PRJNA1093465,SAMN41371907,2337822.0,60.0,47.0,119879.0,,isolate,Homo sapiens,,USA: New York,,True,False,True,homo sapiens,,USA: New York,longum,homo sapiens,rich broth,usa: new york,homo sapiens,biosample,other,biosample,usa,biosample,Bifidobacterium longum
GCA_039754075.1,Bifidobacterium longum,RTP21488st1_C9_RTP21489_200313,Scaffold,SPAdes v. v3.14.1,PRJNA1093465,SAMN41371906,2363261.0,60.0,35.0,160156.0,,isolate,Homo sapiens,,USA: New York,,True,False,True,homo sapiens,,USA: New York,longum,homo sapiens,rich broth,usa: new york,homo sapiens,biosample,other,biosample,usa,biosample,Bifidobacterium longum
GCA_039754095.1,Bifidobacterium longum,RTP21488st1_C3_RTP21489_200313,Scaffold,SPAdes v. v3.14.1,PRJNA1093465,SAMN41371905,2356251.0,60.0,35.0,160156.0,,isolate,Homo sapiens,,USA: New York,,True,False,True,homo sapiens,,USA: New York,longum,homo sapiens,rich broth,usa: new york,homo sapiens,biosample,other,biosample,usa,biosample,Bifidobacterium longum
GCA_039754115.1,Bifidobacterium longum,RTP21489st1_G8_RTP21489_200313,Scaffold,SPAdes v. v3.14.1,PRJNA1093465,SAMN41371908,2339748.0,60.0,43.0,119879.0,,isolate,Homo sapiens,,USA: New York,,True,False,True,homo sapiens,,USA: New York,longum,homo sapiens,rich broth,usa: new york,homo sapiens,biosample,other,biosample,usa,biosample,Bifidobacterium longum
GCA_039754135.1,Bifidobacterium longum,RTP21428st2_E4_RTP21428_210409,Scaffold,SPAdes v. v3.14.1,PRJNA1093465,SAMN41371903,2307397.0,60.0,145.0,26178.0,,isolate,Homo sapiens,,USA: New York,,True,False,True,homo sapiens,,USA: New York,longum,homo sapiens,rich broth,usa: new york,homo sapiens,biosample,other,biosample,usa,biosample,Bifidobacterium longum
GCA_039754155.1,Bifidobacterium longum,RTP21428st1_F9_RTP21428_210409,Scaffold,SPAdes v. v3.14.1,PRJNA1093465,SAMN41371902,2289907.0,60.0,111.0,40875.0,,isolate,Homo sapiens,,USA: New York,,True,False,True,homo sapiens,,USA: New York,longum,homo sapiens,rich broth,usa: new york,homo sapiens,biosample,other,biosample,usa,biosample,Bifidobacterium longum
GCA_039754175.1,Bifidobacterium longum,RTP21488st1_A9_RTP21489_200313,Scaffold,SPAdes v. v3.14.1,PRJNA1093465,SAMN41371904,2358727.0,60.0,43.0,124689.0,,isolate,Homo sapiens,,USA: New York,,True,False,True,homo sapiens,,USA: New York,longum,homo sapiens,rich broth,usa: new york,homo sapiens,biosample,other,biosample,usa,biosample,Bifidobacterium longum
GCA_039754195.1,Bifidobacterium longum,RTP21428st1_B5_RTP21428_210409,Scaffold,SPAdes v. v3.14.1,PRJNA1093465,SAMN41371900,2241670.0,60.0,114.0,36081.0,,isolate,Homo sapiens,,USA: New York,,True,False,True,homo sapiens,,USA: New York,longum,homo sapiens,rich broth,usa: new york,homo sapiens,biosample,other,biosample,usa,biosample,Bifidobacterium longum
GCA_039754215.1,Bifidobacterium longum,RTP21428st1_A5_RTP21428_210409,Scaffold,SPAdes v. v3.14.1,PRJNA1093465,SAMN41371899,2294477.0,60.0,130.0,30414.0,,isolate,Homo sapiens,,USA: New York,,True,False,True,homo sapiens,,USA: New York,longum,homo sapiens,rich broth,usa: new york,homo sapiens,biosample,other,biosample,usa,biosample,Bifidobacterium longum
GCA_039754255.1,Bifidobacterium longum,RTP21400st1_E1_RTP21400_201112,Scaffold,SPAdes v. v3.14.1,PRJNA1093465,SAMN41371898,2382374.0,60.0,55.0,113892.0,,isolate,Homo sapiens,,USA: New York,,True,False,True,homo sapiens,,USA: New York,longum,homo sapiens,rich broth,usa: new york,homo sapiens,biosample,other,biosample,usa,biosample,Bifidobacterium longum
GCA_039759205.1,Bifidobacterium longum,D52st1_F6_D52t1_170925,Scaffold,SPAdes v. v3.14.1,PRJNA1093465,SAMN41376121,2404055.0,60.5,95.0,47319.0,,isolate,Homo sapiens,,USA: New York,,True,False,True,homo sapiens,,USA: New York,longum,homo sapiens,rich broth,usa: new york,homo sapiens,biosample,other,biosample,usa,biosample,Bifidobacterium longum
GCA_039759255.1,Bifidobacterium longum,D52st1_C8_D52t1_170925,Scaffold,SPAdes v. v3.14.1,PRJNA1093465,SAMN41376120,2402693.0,60.5,97.0,46028.0,,isolate,Homo sapiens,,USA: New York,,True,False,True,homo sapiens,,USA: New York,longum,homo sapiens,rich broth,usa: new york,homo sapiens,biosample,other,biosample,usa,biosample,Bifidobacterium longum
GCA_039759275.1,Bifidobacterium longum,1010st1_E10_1010SCRN_200918,Scaffold,SPAdes v. v3.14.1,PRJNA1093465,SAMN41376116,2346215.0,60.0,29.0,181317.0,,isolate,Homo sapiens,,USA: New York,,True,False,True,homo sapiens,,USA: New York,longum,homo sapiens,rich broth,usa: new york,homo sapiens,biosample,other,biosample,usa,biosample,Bifidobacterium longum
GCA_039759295.1,Bifidobacterium longum,1001271st1_F5_1001271B_151109,Scaffold,SPAdes v. v3.14.1,PRJNA1093465,SAMN41376113,2472922.0,60.5,59.0,63927.0,,isolate,Homo sapiens,,USA: New York,,True,False,True,homo sapiens,,USA: New York,longum,homo sapiens,rich broth,usa: new york,homo sapiens,biosample,other,biosample,usa,biosample,Bifidobacterium longum
GCA_039759315.1,Bifidobacterium longum,BSD3178071175st1_H11_BSD3178071176_160815,Scaffold,SPAdes v. v3.14.1,PRJNA1093465,SAMN41376119,2445950.0,60.0,43.0,153650.0,,isolate,Homo sapiens,,USA: New York,,True,False,True,homo sapiens,,USA: New York,longum,homo sapiens,rich broth,usa: new york,homo sapiens,biosample,other,biosample,usa,biosample,Bifidobacterium longum
GCA_039759335.1,Bifidobacterium longum,BSD3178071175st1_G10_BSD3178071176_160815,Scaffold,SPAdes v. v3.14.1,PRJNA1093465,SAMN41376118,2436900.0,60.0,44.0,137032.0,,isolate,Homo sapiens,,USA: New York,,True,False,True,homo sapiens,,USA: New York,longum,homo sapiens,rich broth,usa: new york,homo sapiens,biosample,other,biosample,usa,biosample,Bifidobacterium longum
GCA_039759355.1,Bifidobacterium longum,1010st1_A7_1010SCRN_200918,Scaffold,SPAdes v. v3.14.1,PRJNA1093465,SAMN41376115,2343708.0,60.0,31.0,136030.0,,isolate,Homo sapiens,,USA: New York,,True,False,True,homo sapiens,,USA: New York,longum,homo sapiens,rich broth,usa: new york,homo sapiens,biosample,other,biosample,usa,biosample,Bifidobacterium longum
GCA_039759375.1,Bifidobacterium longum,1001271st1_C6_1001271B_151109,Scaffold,SPAdes v. v3.14.1,PRJNA1093465,SAMN41376111,2470371.0,60.5,64.0,64812.0,,isolate,Homo sapiens,,USA: New York,,True,False,True,homo sapiens,,USA: New York,longum,homo sapiens,rich broth,usa: new york,homo sapiens,biosample,other,biosample,usa,biosample,Bifidobacterium longum
GCA_039759395.1,Bifidobacterium longum,1001271st1_D2_1001271B_151109,Scaffold,SPAdes v. v3.14.1,PRJNA1093465,SAMN41376112,2474288.0,60.5,41.0,104047.0,,isolate,Homo sapiens,,USA: New York,,True,False,True,homo sapiens,,USA: New York,longum,homo sapiens,rich broth,usa: new york,homo sapiens,biosample,other,biosample,usa,biosample,Bifidobacterium longum
GCA_039759415.1,Bifidobacterium longum,1001271st1_B8_1001271B_150615,Scaffold,SPAdes v. v3.14.1,PRJNA1093465,SAMN41376110,2470003.0,60.5,30.0,111152.0,,isolate,Homo sapiens,,USA: New York,,True,False,True,homo sapiens,,USA: New York,longum,homo sapiens,rich broth,usa: new york,homo sapiens,biosample,other,biosample,usa,biosample,Bifidobacterium longum
GCA_039759435.1,Bifidobacterium longum,1001271st1_A4_1001271B_151109,Scaffold,SPAdes v. v3.14.1,PRJNA1093465,SAMN41376108,2468440.0,60.5,58.0,73468.0,,isolate,Homo sapiens,,USA: New York,,True,False,True,homo sapiens,,USA: New York,longum,homo sapiens,rich broth,usa: new york,homo sapiens,biosample,other,biosample,usa,biosample,Bifidobacterium longum
GCA_039759455.1,Bifidobacterium longum,1001271st1_A7_1001271B_151109,Scaffold,SPAdes v. v3.14.1,PRJNA1093465,SAMN41376109,2477661.0,60.0,45.0,104001.0,,isolate,Homo sapiens,,USA: New York,,True,False,True,homo sapiens,,USA: New York,longum,homo sapiens,rich broth,usa: new york,homo sapiens,biosample,other,biosample,usa,biosample,Bifidobacterium longum
GCA_039759475.1,Bifidobacterium longum,1001099st2_E7_1001099B_141217,Scaffold,SPAdes v. v3.14.1,PRJNA1093465,SAMN41376107,2274638.0,60.0,53.0,91809.0,,isolate,Homo sapiens,,USA: New York,,True,False,True,homo sapiens,,USA: New York,longum,homo sapiens,rich broth,usa: new york,homo sapiens,biosample,other,biosample,usa,biosample,Bifidobacterium longum
GCA_039759495.1,Bifidobacterium longum,1001099st1_G3_1001099B_141217,Scaffold,SPAdes v. v3.14.1,PRJNA1093465,SAMN41376106,2237333.0,60.0,50.0,128514.0,,isolate,Homo sapiens,,USA: New York,,True,False,True,homo sapiens,,USA: New York,longum,homo sapiens,rich broth,usa: new york,homo sapiens,biosample,other,biosample,usa,biosample,Bifidobacterium longum
GCA_039834765.1,Bifidobacterium longum,H11_h1001283B150217_200217,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321709,2584279.0,60.0,57.0,105221.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,longum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium longum
GCA_039834795.1,Bifidobacterium longum,E11_h1001283B150217_200217,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321704,2556810.0,60.0,74.0,96056.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,longum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium longum
GCA_039834815.1,Bifidobacterium longum,H7_h1001283B150217_200217,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321707,2581334.0,60.0,57.0,99078.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,longum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium longum
GCA_039834835.1,Bifidobacterium longum,RTP31078st2_A7_RTP31078_200813,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321690,2383753.0,60.0,24.0,225714.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,longum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium longum
GCA_039834855.1,Bifidobacterium longum,B3_h1001283B150217_200217,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321698,2558290.0,60.0,76.0,94645.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,longum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium longum
GCA_039834875.1,Bifidobacterium longum,RTP31036st3_E1_RTP31036_200814,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321686,2378915.0,60.0,144.0,29989.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,longum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium longum
GCA_039834895.1,Bifidobacterium longum,RTP31036st2_D9_RTP31036_200814,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321685,2352275.0,60.0,66.0,79436.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,longum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium longum
GCA_039834915.1,Bifidobacterium longum,RTP31036st1_H8_RTP31036_200814,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321683,2420208.0,60.0,92.0,45698.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,longum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium longum
GCA_039834935.1,Bifidobacterium longum,RTP31036st2_C11_RTP31036_200814,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321684,2350227.0,60.0,84.0,62725.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,longum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium longum
GCA_039834955.1,Bifidobacterium longum,RTP31036st1_F3_RTP31036_200814,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321681,2421335.0,60.0,93.0,48993.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,longum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium longum
GCA_039834975.1,Bifidobacterium longum,RTP31036st1_B8_RTP31036_200814,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321680,2414400.0,60.0,94.0,41888.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,longum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium longum
GCA_039834995.1,Bifidobacterium longum,RTP31036st1_G12_RTP31036_200814,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321682,2429435.0,60.0,77.0,58570.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,longum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium longum
GCA_039835015.1,Bifidobacterium longum,RTP21222st1_B10_RTP21222_200807,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321672,2406759.0,60.0,128.0,33162.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,longum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium longum
GCA_039835035.1,Bifidobacterium longum,RTP21221st3_E6_RTP21221_200709,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321670,2376400.0,60.0,51.0,148204.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,longum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium longum
GCA_039835055.1,Bifidobacterium longum,RTP21222st1_B9_RTP21222_200807,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321673,2415007.0,60.0,137.0,33688.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,longum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium longum
GCA_039835065.1,Bifidobacterium longum,RTP21484st1_H1_RTP21484_190118,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321679,2292829.0,60.0,105.0,47249.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,longum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium longum
GCA_039835095.1,Bifidobacterium longum,RTP21222st1_A12_RTP21222_200807,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321671,2411077.0,60.0,121.0,40406.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,longum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium longum
GCA_039835115.1,Bifidobacterium longum,RTP21221st3_D10_RTP21221_200709,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321669,2336507.0,60.0,66.0,79810.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,longum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium longum
GCA_039835135.1,Bifidobacterium longum,RTP21221st2_C4_RTP21221_200709,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321667,2330746.0,60.0,50.0,133054.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,longum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium longum
GCA_039835155.1,Bifidobacterium longum,RTP21221st1_G9_RTP21221_200709,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321666,2418109.0,60.0,118.0,39187.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,longum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium longum
GCA_039835175.1,Bifidobacterium longum,RTP21221st2_F11_RTP21221_200709,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321668,2292119.0,60.0,74.0,63973.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,longum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium longum
GCA_039835185.1,Bifidobacterium longum,RTP21221st1_C9_RTP21221_200709,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321665,2364224.0,60.0,45.0,115821.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,longum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium longum
GCA_039835215.1,Bifidobacterium longum,RTP21221st1_C7_RTP21222_200807,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321664,2367056.0,60.0,82.0,54927.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,longum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium longum
GCA_039835235.1,Bifidobacterium longum,RTP21221st1_A4_RTP21221_200709,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321663,2400184.0,60.0,70.0,70724.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,longum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium longum
GCA_039835255.1,Bifidobacterium longum,RTP21191st2_F6_RTP21191_200730,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321662,2422000.0,60.0,80.0,79504.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,longum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium longum
GCA_039835275.1,Bifidobacterium longum,RTP21191st1_E7_RTP21191_200730,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321661,2325649.0,59.5,75.0,71998.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,longum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium longum
GCA_039835295.1,Bifidobacterium longum,RTP21191st1_B3_RTP21191_200730,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321660,2322046.0,59.5,111.0,42392.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,longum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium longum
GCA_039835315.1,Bifidobacterium longum,A7_m1001271B151109d0_201107,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321639,2384791.0,60.0,25.0,262505.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,longum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium longum
GCA_039835335.1,Bifidobacterium longum,G3_m1001271B151109d0_201107,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321654,2381529.0,60.0,22.0,225749.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,longum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium longum
GCA_039835345.1,Bifidobacterium longum,H9_hJ1101004_210123,Contig,SPAdes v. 3.10.1,PRJNA880610,SAMN31321638,2433414.0,60.0,48.0,88417.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,longum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium longum
GCA_039835375.1,Bifidobacterium longum,F2_hJ1101004_210123,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321634,2433825.0,60.0,53.0,88417.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,longum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium longum
GCA_039835395.1,Bifidobacterium longum,E4_hJ1101004_210123,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321631,2433585.0,60.0,54.0,85786.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,longum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium longum
GCA_039835415.1,Bifidobacterium longum,E7_hBSD2780061687b_210117,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321616,2327253.0,60.0,25.0,175463.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,longum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium longum
GCA_039835435.1,Bifidobacterium longum,A8_hJ1101004_210123,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321622,2430633.0,60.0,49.0,99646.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,longum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium longum
GCA_039835455.1,Bifidobacterium longum,D12_hBSD2780061687b_210117,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321613,2325940.0,60.0,26.0,217565.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,longum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium longum
GCA_039835475.1,Bifidobacterium longum,B2_hBSD2780061687b_210117,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321608,2275522.0,60.0,35.0,194135.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,longum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium longum
GCA_039835495.1,Bifidobacterium longum,G5_hBSD2780061687_210209,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321602,2410483.0,60.0,45.0,94891.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,longum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium longum
GCA_039835515.1,Bifidobacterium longum,J1101312st1_C8_J1101312_190322,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321579,2465130.0,60.0,64.0,58691.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,longum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium longum
GCA_039835535.1,Bifidobacterium longum,J1101312st1_G8_J1101312_190322,Scaffold,SPAdes v. 3.10.1,PRJNA880610,SAMN31321581,2469311.0,60.0,64.0,70468.0,,isolate,Homo sapiens,,USA,,True,False,True,homo sapiens,,USA,longum,homo sapiens,,usa,homo sapiens,biosample,other,none,usa,biosample,Bifidobacterium longum
